response_date,label,percent_mc
2020-06-02,Alabama,0.7022488056166215
2020-06-02,Alaska,0.7152691379582135
2020-06-02,Arizona,0.7124826752092663
2020-06-02,Arkansas,0.7411450381899152
2020-06-02,California,0.8560513483462137
2020-06-02,Colorado,0.7954156789529907
2020-06-02,Connecticut,0.8773764352632814
2020-06-02,Delaware,0.8562842386371798
2020-06-02,District of Columbia (DC),0.9347403153020504
2020-06-02,Florida,0.7776278890577124
2020-06-02,Georgia,0.7611050035392805
2020-06-02,Hawaii,0.8896923986986099
2020-06-02,Idaho,0.6273509403761505
2020-06-02,Illinois,0.8443386007639181
2020-06-02,Indiana,0.7538078545785313
2020-06-02,Iowa,0.6543887295894055
2020-06-02,Kansas,0.6580171961045032
2020-06-02,Kentucky,0.7450725587341334
2020-06-02,Louisiana,0.7516250501499052
2020-06-02,Maine,0.7035888907840127
2020-06-02,Maryland,0.8999339092986718
2020-06-02,Massachusetts,0.8705300589964682
2020-06-02,Michigan,0.8133465889045486
2020-06-02,Minnesota,0.7224673897877323
2020-06-02,Mississippi,0.7688301666784364
2020-06-02,Missouri,0.6929981341942903
2020-06-02,Montana,0.5378259184148809
2020-06-02,Nebraska,0.6602450980392156
2020-06-02,Nevada,0.7445936223121724
2020-06-02,New Hampshire,0.8249764977761439
2020-06-02,New Jersey,0.8717830062147245
2020-06-02,New Mexico,0.8342558817695132
2020-06-02,New York,0.8944250360422819
2020-06-02,North Carolina,0.781493717725189
2020-06-02,North Dakota,0.5541999408459035
2020-06-02,Ohio,0.7357247659491607
2020-06-02,Oklahoma,0.6650533269603309
2020-06-02,Oregon,0.75347156383196
2020-06-02,Pennsylvania,0.8629226527672774
2020-06-02,Rhode Island,0.9090268422422337
2020-06-02,South Carolina,0.7056267258063414
2020-06-02,South Dakota,0.7290581598852275
2020-06-02,Tennessee,0.6946487713683885
2020-06-02,Texas,0.8120639395027773
2020-06-02,Utah,0.7418937392535787
2020-06-02,Vermont,0.7713165199190044
2020-06-02,Virginia,0.8400045184183097
2020-06-02,Washington,0.7758233287506392
2020-06-02,West Virginia,0.6558441558441559
2020-06-02,Wisconsin,0.7088077578169485
2020-06-02,Wyoming,0.7039965986394557
2020-06-03,Alabama,0.6971613005291164
2020-06-03,Alaska,0.740665963355039
2020-06-03,Arizona,0.6860075690377654
2020-06-03,Arkansas,0.7442027072505707
2020-06-03,California,0.8570307458753097
2020-06-03,Colorado,0.7947900272324484
2020-06-03,Connecticut,0.8765624724653843
2020-06-03,Delaware,0.8577827401356813
2020-06-03,District of Columbia (DC),0.9402348207965558
2020-06-03,Florida,0.7760109008520117
2020-06-03,Georgia,0.7676489558671362
2020-06-03,Hawaii,0.8896923986986099
2020-06-03,Idaho,0.6028611444577832
2020-06-03,Illinois,0.8458647907601746
2020-06-03,Indiana,0.7419692302399069
2020-06-03,Iowa,0.6428755716946686
2020-06-03,Kansas,0.6520648151521222
2020-06-03,Kentucky,0.7419269714589241
2020-06-03,Louisiana,0.7423885969479348
2020-06-03,Maine,0.6893031764982984
2020-06-03,Maryland,0.8957798712463287
2020-06-03,Massachusetts,0.8680552837360703
2020-06-03,Michigan,0.8148869090495201
2020-06-03,Minnesota,0.7145763481874703
2020-06-03,Mississippi,0.7738107303324694
2020-06-03,Missouri,0.6938747238559269
2020-06-03,Montana,0.5181261060321417
2020-06-03,Nebraska,0.6622619047619047
2020-06-03,Nevada,0.7420426019040092
2020-06-03,New Hampshire,0.8496518224514685
2020-06-03,New Jersey,0.8668962601247503
2020-06-03,New Mexico,0.83146842532352
2020-06-03,New York,0.8961562710096682
2020-06-03,North Carolina,0.7894926110624282
2020-06-03,North Dakota,0.5554421768707483
2020-06-03,Ohio,0.7314114018938611
2020-06-03,Oklahoma,0.6748855999504986
2020-06-03,Oregon,0.754089246802584
2020-06-03,Pennsylvania,0.863685048266515
2020-06-03,Rhode Island,0.9124970562387634
2020-06-03,South Carolina,0.7108230798399049
2020-06-03,South Dakota,0.709393613904892
2020-06-03,Tennessee,0.6927868784136098
2020-06-03,Texas,0.8043979505108599
2020-06-03,Utah,0.7171038232871921
2020-06-03,Vermont,0.7727498691784406
2020-06-03,Virginia,0.8463933065750536
2020-06-03,Washington,0.7815392772863171
2020-06-03,West Virginia,0.6785714285714285
2020-06-03,Wisconsin,0.7082294242937581
2020-06-03,Wyoming,0.6886904761904761
2020-06-04,Alabama,0.7160427627095476
2020-06-04,Alaska,0.7555082639116252
2020-06-04,Arizona,0.7142872870508924
2020-06-04,Arkansas,0.7339986256179177
2020-06-04,California,0.8505810926930263
2020-06-04,Colorado,0.7966559773742606
2020-06-04,Connecticut,0.8802949604498408
2020-06-04,Delaware,0.8622782446311859
2020-06-04,District of Columbia (DC),0.9488753737919475
2020-06-04,Florida,0.7649823943894641
2020-06-04,Georgia,0.7776786087539319
2020-06-04,Hawaii,0.9090801538006508
2020-06-04,Idaho,0.6077631052420968
2020-06-04,Illinois,0.8390754292968147
2020-06-04,Indiana,0.7466101977380172
2020-06-04,Iowa,0.6715294574914116
2020-06-04,Kansas,0.6710218544895964
2020-06-04,Kentucky,0.7450085459690701
2020-06-04,Louisiana,0.7799825819103408
2020-06-04,Maine,0.6904936526887746
2020-06-04,Maryland,0.9010704640154805
2020-06-04,Massachusetts,0.8748515136784288
2020-06-04,Michigan,0.8054995916774118
2020-06-04,Minnesota,0.721778104452195
2020-06-04,Mississippi,0.7530271660706442
2020-06-04,Missouri,0.7053677421158623
2020-06-04,Montana,0.5277616317966998
2020-06-04,Nebraska,0.7307142857142858
2020-06-04,Nevada,0.7399924132866564
2020-06-04,New Hampshire,0.8244417384178552
2020-06-04,New Jersey,0.8680556719067223
2020-06-04,New Mexico,0.8307301455154728
2020-06-04,New York,0.8973711422040477
2020-06-04,North Carolina,0.775718952778788
2020-06-04,North Dakota,0.4482993197278911
2020-06-04,Ohio,0.7514891698431461
2020-06-04,Oklahoma,0.6715465293825124
2020-06-04,Oregon,0.7590923062274122
2020-06-04,Pennsylvania,0.8632365542621717
2020-06-04,Rhode Island,0.9086773465367007
2020-06-04,South Carolina,0.7179659369827619
2020-06-04,South Dakota,0.6604140220681574
